시군구,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,해제사유발생일
세종특별자치시 전의면 동교리,구거,자연녹지지역,-,201806,21,56,"1,855", ,
세종특별자치시 연서면 용암리,과수원,생산관리지역,8m미만,201806,21,1507,"19,320", ,
세종특별자치시 전의면 다방리,임야,농림지역,8m미만,201806,21,660,"2,376",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,21,661,"2,780",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,-,201806,21,339,"24,615", ,
세종특별자치시 전동면 봉대리,임야,보전관리지역,-,201806,21,330,"3,822",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,21,991,"4,170",지분,
세종특별자치시 고운동,대,제1종전용주거지역,25m미만,201806,21,339,"42,500", ,
세종특별자치시 전의면 동교리,답,자연녹지지역,-,201806,21,1560,"51,695", ,
세종특별자치시 소정면 고등리,임야,농림지역,-,201806,21,165,550,지분,
세종특별자치시 연서면 용암리,답,계획관리지역,8m미만,201806,21,53,680, ,
세종특별자치시 전의면 동교리,전,자연녹지지역,-,201806,21,255,"8,450", ,
세종특별자치시 전의면 양곡리,임야,농림지역,8m미만,201806,21,165,950,지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,22,168.59,"1,015",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,22,198,"1,194",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,22,198,"1,219",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,22,331,"1,390",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,363.64,"1,529",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,80,"1,648",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,396.69,"1,668",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,90,"1,854",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,22,330.58,"1,990",지분,
세종특별자치시 연서면 월하리,임야,자연녹지지역,-,201806,22,505,"19,300", ,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,22,33.05,199,지분,
세종특별자치시 전의면 유천리,임야,농림지역,8m미만,201806,22,330,"2,049",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,100,"2,060",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,22,330,"2,366",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,22,330,"2,390",지분,
세종특별자치시 금남면 부용리,임야,농림지역,8m미만,201806,22,330,"2,890",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,143.73,"2,948",지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,10.97,228,지분,
세종특별자치시 연서면 월하리,임야,자연녹지지역,-,201806,22,612,"23,200", ,
세종특별자치시 전의면 동교리,답,자연녹지지역,12m미만,201806,22,792,"25,760", ,
세종특별자치시 전의면 동교리,답,자연녹지지역,-,201806,22,797,"26,000", ,
세종특별자치시 전동면 노장리,임야,농림지역,-,201806,22,165.29,270,지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,66.12,278,지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201806,22,499.17,"3,005",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,727.27,"3,058",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,22,662,"3,980",지분,
세종특별자치시 연서면 성제리,전,제1종일반주거지역,8m미만,201806,22,1361,"35,000", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,22,99,417,지분,
세종특별자치시 연서면 신대리,임야,보전관리지역,8m미만,201806,22,6390,"48,000", ,
세종특별자치시 연기면 수산리,대,농림지역,-,201806,22,495,"6,000",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,1652.9,"6,950",지분,
세종특별자치시 연기면 수산리,전,계획관리지역,8m미만,201806,22,956,"61,500",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,22,165.29,695,지분,
세종특별자치시 연기면 수산리,전,계획관리지역,8m미만,201806,22,1264,"80,000", ,
세종특별자치시 전의면 금사리,임야,농림지역,-,201806,22,198.35,828,지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,40,880,지분,
세종특별자치시 장군면 봉안리,임야,보전관리지역,8m미만,201806,22,45.3,943,지분,
세종특별자치시 금남면 영곡리,임야,보전관리지역,8m미만,201806,22,16.53,970,지분,
세종특별자치시 장군면 평기리,임야,보전관리지역,8m미만,201806,23,3074,"37,000", ,
세종특별자치시 금남면 부용리,전,생산관리지역,-,201806,23,2278,"68,900", ,
세종특별자치시 장군면 용암리,전,계획관리지역,8m미만,201806,23,645,"8,500", ,
세종특별자치시 금남면 영곡리,임야,보전관리지역,8m미만,201806,24,33.06,"1,940",지분,
세종특별자치시 연동면 송용리,대,계획관리지역,8m미만,201806,24,259,"11,700", ,
세종특별자치시 연서면 신대리,답,계획관리지역,-,201806,24,992,"15,800", ,
세종특별자치시 금남면 영대리,전,개발제한구역,8m미만,201806,24,2317,"21,000", ,
세종특별자치시 다정동,대,용도미지정,-,201806,24,302,"39,000", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,1488,"1,341",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,25,331,"1,390",지분,
세종특별자치시 전동면 송정리,전,농림지역,-,201806,25,2099,"12,700", ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,25,1983,"15,000",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,198,179,지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201806,25,33,199,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201806,25,860,"2,184",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,660,"2,780",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,25,661,"2,780",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,754,"3,169",지분,
세종특별자치시 전의면 동교리,답,자연녹지지역,-,201806,25,56,"3,485",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201806,25,1567,"3,982",지분,
세종특별자치시 연기면 눌왕리,답,농림지역,-,201806,25,1375,"33,250", ,
세종특별자치시 연기면 눌왕리,답,농림지역,8m미만,201806,25,1375,"33,250", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,4483,"4,041",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,25,595,"4,500",지분,
세종특별자치시 금남면 성강리,답,농림지역,8m미만,201806,25,3402,"44,200", ,
세종특별자치시 금남면 영곡리,임야,보전관리지역,8m미만,201806,25,99.17,"5,821",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,25,7127,"6,425",지분,
세종특별자치시 전의면 동교리,답,자연녹지지역,-,201806,25,10,615,지분,
세종특별자치시 금남면 도남리,임야,보전관리지역,8m미만,201806,25,128.93,"7,568",지분,
세종특별자치시 소정면 고등리,임야,농림지역,-,201806,25,330,751,지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201806,26,661,"1,000",지분,
세종특별자치시 장군면 도계리,도로,보전관리지역,8m미만,201806,26,96,"1,000",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201806,26,330,"1,104",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,26,331,"1,390",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,26,334,"1,390",지분,
세종특별자치시 전의면 서정리,임야,농림지역,-,201806,26,5058,"1,400", ,
세종특별자치시 전동면 심중리,임야,농림지역,-,201806,26,495,"1,708",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201806,26,495,"1,725",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201806,26,495.75,"1,725",지분,
세종특별자치시 전의면 다방리,임야,농림지역,8m미만,201806,26,512,"1,841",지분,
세종특별자치시 장군면 금암리,임야,농림지역,-,201806,26,429,"1,885",지분,
세종특별자치시 연동면 응암리,답,농림지역,8m미만,201806,26,1397.4,"11,000", ,
세종특별자치시 전의면 양곡리,임야,농림지역,-,201806,26,49884,"12,000", ,
세종특별자치시 장군면 은용리,전,생산관리지역,8m미만,201806,26,995,"12,140", ,
세종특별자치시 연서면 쌍전리,임야,자연녹지지역,-,201806,26,585,"13,105",지분,
세종특별자치시 장군면 도계리,임야,보전관리지역,8m미만,201806,26,570,"18,900", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,330,"2,690",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,26,661,"2,780",지분,
세종특별자치시 전의면 영당리,임야,농림지역,8m미만,201806,26,660,"2,980",지분,
세종특별자치시 장군면 대교리,임야,보전관리지역,-,201806,26,481,"24,840", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,33,269,지분,
세종특별자치시 장군면 대교리,임야,보전관리지역,-,201806,26,580,"29,940", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,495,"4,035",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,26,991,"4,170",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,49,404,지분,
세종특별자치시 고운동,대,제1종전용주거지역,12m미만,201806,26,336,"44,000", ,
세종특별자치시 부강면 부강리,전,생산녹지지역,25m미만,201806,26,55,"5,000", ,
세종특별자치시 장군면 대교리,임야,보전관리지역,-,201806,26,99,"5,100", ,
세종특별자치시 장군면 은용리,전,생산관리지역,8m미만,201806,26,440,"5,360", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,661,"5,380",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,26,66,538,지분,
세종특별자치시 전의면 달전리,임야,보전관리지역,-,201806,26,2876,"6,390",지분,
세종특별자치시 장군면 하봉리,답,계획관리지역,-,201806,26,246,"6,500", ,
세종특별자치시 장군면 하봉리,임야,계획관리지역,-,201806,26,35,600,지분,
세종특별자치시 연서면 쌍전리,과수원,자연녹지지역,8m미만,201806,26,417,"7,626",지분,
세종특별자치시 소정면 고등리,임야,농림지역,-,201806,26,330,782,지분,
세종특별자치시 연동면 내판리,과수원,계획관리지역,-,201806,26,165,"8,500", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,26,198,834,지분,
세종특별자치시 장군면 하봉리,전,계획관리지역,-,201806,27,91,"1,008", ,
세종특별자치시 금남면 황용리,답,자연녹지지역,-,201806,27,50,"1,050", ,
세종특별자치시 금남면 성덕리,임야,보전관리지역,8m미만,201806,27,33.18,"1,305",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,27,165,"1,345",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,27,330,"1,390",지분,
세종특별자치시 소정면 대곡리,답,농림지역,8m미만,201806,27,327,"1,463", ,
세종특별자치시 금남면 성덕리,도로,보전관리지역,8m미만,201806,27,39.26,"1,544",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,27,429,"1,807",지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201806,27,330,"1,990",지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201806,27,330,"1,990",지분,
세종특별자치시 전동면 청송리,임야,농림지역,-,201806,27,1653,"14,950", ,
세종특별자치시 연서면 부동리,임야,계획관리지역,8m미만,201806,27,636,"15,041", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,27,330,"2,690",지분,
세종특별자치시 금남면 성덕리,임야,보전관리지역,8m미만,201806,27,645,"25,360", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,27,33,269,지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,27,66,278,지분,
세종특별자치시 장군면 금암리,임야,보전관리지역,8m미만,201806,27,543,"29,000", ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,27,396,"3,000",지분,
세종특별자치시 소정면 대곡리,답,농림지역,8m미만,201806,27,850,"3,803", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,27,99,417,지분,
세종특별자치시 소정면 대곡리,답,농림지역,8m미만,201806,27,1170,"5,234", ,
세종특별자치시 금남면 황용리,답,개발제한구역,8m미만,201806,27,272,"5,760", ,
세종특별자치시 장군면 하봉리,임야,계획관리지역,-,201806,27,955,"5,992", ,
세종특별자치시 연서면 쌍류리,과수원,생산관리지역,-,201806,27,3880,"51,640", ,
세종특별자치시 금남면 발산리,전,개발제한구역,-,201806,27,655,"7,000", ,
세종특별자치시 금남면 성덕리,임야,보전관리지역,8m미만,201806,27,19.38,762,지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201806,27,165,995,지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201806,28,168,"1,015",지분,
세종특별자치시 전의면 신방리,임야,농림지역,-,201806,28,171,"1,035",지분,
세종특별자치시 전의면 금사리,임야,농림지역,-,201806,28,247.93,"1,035",지분,
세종특별자치시 장군면 은용리,임야,농림지역,-,201806,28,165,"1,145",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,165,"1,161",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,165,"1,173",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,28,165,"1,183",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,165,"1,185",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,28,165,"1,195",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,198,"1,209",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,28,330,"1,390",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,330,"1,390",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,1301,"1,393",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,198,"1,408",지분,
세종특별자치시 조치원읍 신안리,대,제1종일반주거지역,-,201806,28,30,"1,530", ,
세종특별자치시 전의면 금사리,전,생산관리지역,-,201806,28,793.33,"1,590",지분,
세종특별자치시 장군면 봉안리,도로,계획관리지역,8m미만,201806,28,60,"1,600",지분,
세종특별자치시 연동면 송용리,답,계획관리지역,-,201806,28,77,"1,840", ,
세종특별자치시 소정면 고등리,임야,농림지역,-,201806,28,561.5,"1,870",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,28,330.57,"1,990",지분,
세종특별자치시 조치원읍 신안리,대,제1종일반주거지역,-,201806,28,2,102, ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,1652,"11,732", ,
세종특별자치시 전의면 원성리,답,계획관리지역,8m미만,201806,28,2403,"12,000", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,12620,"13,532",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,28,512.39,"2,155",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,2072,"2,223",지분,
세종특별자치시 전의면 달전리,임야,보전관리지역,-,201806,28,330,"2,346",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,330,"2,346",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,376,"2,687",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,28,456,"2,746",지분,
세종특별자치시 전의면 금사리,임야,농림지역,-,201806,28,661.16,"2,760",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,28,661,"2,780",지분,
세종특별자치시 전동면 봉대리,임야,농림지역,-,201806,28,2948,"2,937", ,
세종특별자치시 연서면 쌍류리,과수원,생산관리지역,12m미만,201806,28,966,"29,000", ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,429,"3,081",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,28,826.45,"3,475",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,495,"3,531",지분,
세종특별자치시 장군면 대교리,임야,농림지역,8m미만,201806,28,661,"3,980",지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201806,28,661,"3,980",지분,
세종특별자치시 금남면 감성리,전,농림지역,12m미만,201806,28,567,"39,445", ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,661,"4,693",지분,
세종특별자치시 전의면 노곡리,임야,농림지역,8m미만,201806,28,660,"4,732",지분,
세종특별자치시 고운동,대,제1종전용주거지역,8m미만,201806,28,372.9,"40,000", ,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,66,403,지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,727,"5,162",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,28,661,"5,380",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,1421,"5,977",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,28,66,538,지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201806,28,99.17,597,지분,
세종특별자치시 장군면 산학리,답,계획관리지역,8m미만,201806,28,417,"6,000", ,
세종특별자치시 금남면 도암리,임야,농림지역,-,201806,28,1001,"6,030",지분,
세종특별자치시 조치원읍 신안리,대,제1종일반주거지역,-,201806,28,13,663, ,
세종특별자치시 전의면 금사리,임야,농림지역,-,201806,28,165.29,690,지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201806,28,188,"7,373",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,28,198,834,지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,1322,"9,385",지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,28,132,948,지분,
세종특별자치시 전의면 신방리,임야,농림지역,12m미만,201806,28,165,960,지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201806,29,168,"1,015",지분,
세종특별자치시 연서면 고복리,임야,농림지역,-,201806,29,330,"1,832",지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201806,29,331,"1,990",지분,
세종특별자치시 연기면 수산리,대,농림지역,-,201806,29,991,"12,000",지분,
세종특별자치시 장군면 대교리,임야,계획관리지역,8m미만,201806,29,405,"13,870", ,
세종특별자치시 전의면 양곡리,임야,농림지역,12m미만,201806,29,57231,"150,000", ,
세종특별자치시 연서면 쌍류리,전,생산관리지역,-,201806,29,1134,"16,000", ,
세종특별자치시 연기면 수산리,임야,농림지역,-,201806,29,330,"2,290",지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201806,29,396,"2,388",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,29,330,"2,690",지분,
세종특별자치시 금남면 도암리,전,보전관리지역,8m미만,201806,29,909,"24,600", ,
세종특별자치시 금남면 영대리,전,개발제한구역,8m미만,201806,29,2092,"25,280", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,29,33,269,지분,
세종특별자치시 전의면 영당리,임야,농림지역,-,201806,29,66,298,지분,
세종특별자치시 장군면 봉안리,임야,계획관리지역,-,201806,29,81,"3,750",지분,
세종특별자치시 전의면 달전리,답,계획관리지역,12m미만,201806,29,992,"34,500", ,
세종특별자치시 전동면 청송리,답,계획관리지역,8m미만,201806,29,2124,"35,600", ,
세종특별자치시 연기면 수산리,대,농림지역,-,201806,29,330,"4,000",지분,
세종특별자치시 연서면 쌍전리,답,자연녹지지역,-,201806,29,302,"4,029", ,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,29,661,"5,380",지분,
세종특별자치시 장군면 송문리,임야,보전관리지역,-,201806,29,489,"5,400",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201806,29,66,538,지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201806,29,100,597,지분,
세종특별자치시 장군면 대교리,임야,보전관리지역,8m미만,201806,29,179,"6,130", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201806,29,165,695,지분,
세종특별자치시 전의면 달전리,임야,농림지역,-,201806,29,991,"7,500",지분,
세종특별자치시 장군면 송문리,임야,보전관리지역,-,201806,29,73,700,지분,
세종특별자치시 연서면 월하리,답,계획관리지역,-,201806,29,860,"75,000", ,
세종특별자치시 집현동,대,용도미지정,-,201806,29,10000,"792,183", ,
세종특별자치시 연서면 고복리,임야,농림지역,-,201806,29,165,916,지분,
세종특별자치시 전의면 신방리,답,계획관리지역,8m미만,201806,30,1706,"11,633", ,
세종특별자치시 조치원읍 번암리,과수원,제2종일반주거지역,8m미만,201806,30,210,"20,320", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,-,201806,30,327,"20,777", ,
세종특별자치시 장군면 봉안리,임야,보전관리지역,-,201806,30,346,"21,982", ,
세종특별자치시 금남면 대박리,답,개발제한구역,8m미만,201806,30,1560,"24,000", ,
세종특별자치시 부강면 부강리,대,제2종일반주거지역,8m미만,201806,30,704,"27,600", ,
세종특별자치시 조치원읍 번암리,과수원,제2종일반주거지역,8m미만,201806,30,41.21,"3,980",지분,
세종특별자치시 전의면 신방리,전,계획관리지역,-,201806,30,972,"5,985", ,
세종특별자치시 장군면 봉안리,전,보전관리지역,8m미만,201807,1,866,"65,500", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,2,338,"1,010",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201807,2,248,"1,043",지분,
세종특별자치시 연서면 쌍전리,과수원,자연녹지지역,-,201807,2,56,"1,100",지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201807,2,198,"1,194",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201807,2,330.58,"1,390",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,2,661,"1,980",지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201807,2,331,"1,990",지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,2,330.58,"1,990",지분,
세종특별자치시 연서면 고복리,임야,농림지역,-,201807,2,1856.99,"10,000",지분,
세종특별자치시 전의면 영당리,전,계획관리지역,8m미만,201807,2,513,"10,500", ,
세종특별자치시 연서면 쌍전리,임야,자연녹지지역,-,201807,2,541,"12,304",지분,
세종특별자치시 전동면 봉대리,임야,보전관리지역,-,201807,2,660,"2,200",지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,2,452.89,"2,726",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,2,661,"2,780",지분,
세종특별자치시 연서면 고복리,임야,농림지역,-,201807,2,3743,"20,000", ,
세종특별자치시 장군면 송문리,전,계획관리지역,8m미만,201807,2,701,"20,060", ,
세종특별자치시 장군면 평기리,전,계획관리지역,8m미만,201807,2,1119,"25,000", ,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201807,2,66.12,278,지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201807,2,363,"3,289",지분,
세종특별자치시 금남면 영곡리,임야,보전관리지역,8m미만,201807,2,56.2,"3,366",지분,
세종특별자치시 연서면 국촌리,임야,계획관리지역,8m미만,201807,2,399.5,"3,900",지분,
세종특별자치시 금남면 도암리,답,계획관리지역,8m미만,201807,2,1974,"37,000", ,
세종특별자치시 한솔동,대,제1종전용주거지역,12m미만,201807,2,330.9,"37,500", ,
세종특별자치시 연기면 연기리,과수원,계획관리지역,-,201807,2,1400,"38,000", ,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,2,66,398,지분,
세종특별자치시 전동면 송성리,임야,농림지역,-,201807,2,8628,"4,700", ,
세종특별자치시 전동면 송성리,임야,농림지역,-,201807,2,61028,"55,000", ,
세종특별자치시 전동면 송성리,대,계획관리지역,8m미만,201807,2,565,"6,000", ,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,2,166,695,지분,
세종특별자치시 전의면 영당리,임야,농림지역,-,201807,2,165,745,지분,
세종특별자치시 금남면 금천리,답,개발제한구역,8m미만,201807,2,1653,"8,000", ,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,3,168,"1,015",지분,
세종특별자치시 금남면 도암리,임야,농림지역,-,201807,3,170,"1,015",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,3,397,"1,188",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,66,"1,340",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,3,331,"1,390",지분,
세종특별자치시 연서면 기룡리,임야,농림지역,-,201807,3,331,"1,390",지분,
세종특별자치시 전동면 심중리,임야,농림지역,-,201807,3,495.75,"1,725",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,86,"1,742",지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,3,330,"1,990",지분,
세종특별자치시 전의면 달전리,대,계획관리지역,8m미만,201807,3,678,"11,500", ,
세종특별자치시 연동면 명학리,임야,보전관리지역,-,201807,3,662,"12,012",지분,
세종특별자치시 연동면 명학리,임야,보전관리지역,-,201807,3,761,"13,809",지분,
세종특별자치시 전의면 동교리,전,자연녹지지역,-,201807,3,397,"19,000", ,
세종특별자치시 장군면 도계리,임야,보전관리지역,8m미만,201807,3,521,"19,000", ,
세종특별자치시 연동면 명학리,임야,보전관리지역,-,201807,3,1053,"19,107",지분,
세종특별자치시 전의면 달전리,임야,농림지역,8m미만,201807,3,333,"2,010",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,112,"2,278",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,122,"2,479",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,122,"2,479",지분,
세종특별자치시 연서면 고복리,도로,보전관리지역,8m미만,201807,3,732,"2,500",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,128,"2,613",지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201807,3,330,"2,690",지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,142,"2,881",지분,
세종특별자치시 전의면 유천리,임야,농림지역,-,201807,3,992,"2,970",지분,
세종특별자치시 금남면 부용리,임야,농림지역,12m미만,201807,3,330,"2,990",지분,
세종특별자치시 전동면 청람리,답,농림지역,8m미만,201807,3,2985,"20,700", ,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,13,268,지분,
세종특별자치시 전동면 청송리,임야,농림지역,8m미만,201807,3,33,269,지분,
세종특별자치시 연서면 고복리,임야,보전관리지역,-,201807,3,647,"3,900",지분,
세종특별자치시 조치원읍 죽림리,답,제2종일반주거지역,12m미만,201807,3,79,"4,000", ,
세종특별자치시 전의면 신정리,전,계획관리지역,12m미만,201807,3,219,"4,422",지분,
세종특별자치시 조치원읍 평리,대,제2종일반주거지역,8m미만,201807,3,71,"4,600", ,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,21,402,지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,23,469,지분,
세종특별자치시 고운동,대,제1종전용주거지역,25m미만,201807,3,333.3,"47,000", ,
세종특별자치시 연기면 수산리,임야,농림지역,-,201807,3,69,502,지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,297,"6,030",지분,
세종특별자치시 전의면 노곡리,전,계획관리지역,8m미만,201807,3,499,"6,599", ,
세종특별자치시 전동면 청람리,답,농림지역,8m미만,201807,3,975,"6,800", ,
세종특별자치시 연서면 고복리,임야,보전관리지역,8m미만,201807,3,357.21,650,지분,
세종특별자치시 전의면 신정리,전,계획관리지역,12m미만,201807,3,364,"7,370",지분,
세종특별자치시 전의면 다방리,임야,농림지역,8m미만,201807,3,198,720,지분,
세종특별자치시 전의면 신정리,전,계획관리지역,-,201807,3,38,804,지분,
